@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
X2.Piperidinone	1158.75	1075.0	1518.5	1574.8333333333333	1348.0	1910.5	1339.25	1583.75	1561.5	1630.6666666666667	1652.8333333333333	2151.5	1740.0	1583.5	1342.75	1648.875	1212.5	1680.0	1608.625	1280.625	1512.75	1248.25	1509.1666666666667	2064.0	1407.25	1911.0	1297.5	1474.75	1280.75	1342.0	1276.1666666666667	1214.0	1462.75	1515.3333333333333	1549.0	1340.0	2069.75	1512.75
X5.Aminopentanal	1784.0	1324.5	1533.0	1714.6666666666667	1539.0	1616.0	1911.0	1665.625	1660.5	1494.1666666666667	1896.5	1866.0	1639.25	1940.0	1437.25	1755.375	1464.5	2568.0	1487.875	1494.75	1721.0	1648.5	2072.5	3011.0	1405.25	2378.5	1511.75	1632.25	1443.0	1298.25	1446.0	1325.0	1515.5	1717.6666666666667	1850.25	1876.25	2394.75	1464.75
Valeric.acid	11303.25	9981.0	5668.5	11832.833333333334	5320.25	6807.0	14545.5	6928.75	8636.25	5888.166666666667	11015.333333333334	7147.5	5737.875	7583.5	5548.5	8523.125	9211.0	7799.0	6569.75	7320.75	9833.0	6202.5	7962.333333333333	11309.5	6483.25	6255.5	21209.0	9896.5	6246.75	6814.25	7073.666666666667	12924.5	24116.25	8517.666666666666	5949.75	8079.5	23757.5	7255.0
Dimethylglycine	39476.25	43570.0	61769.5	54305.166666666664	57031.0	52301.0	67291.25	47355.875	71662.25	85884.66666666667	71872.83333333333	60942.5	79992.0	50525.5	63181.5	73564.0	84335.5	55204.75	98984.0	58589.0	59477.75	67511.25	71148.33333333333	85169.0	52312.5	110260.5	54831.75	66263.0	55512.5	55918.25	43237.333333333336	64280.5	79223.0	65125.333333333336	55753.5	56351.25	133732.25	61897.5
X2.Hydroxybutyric.acid	25595.25	29968.5	33433.5	35056.833333333336	29642.75	23913.5	34180.0	25356.875	38731.5	34728.666666666664	42837.166666666664	34965.0	42208.125	31103.5	36400.75	35424.375	65631.0	29454.75	27626.5	29934.625	20588.25	33236.5	29198.833333333332	51312.5	28201.25	66378.0	38281.0	41660.5	29205.25	24496.75	34703.333333333336	34092.75	27615.25	21638.333333333332	36983.0	36733.0	36990.25	30381.25
L.Serine	19089.0	14445.5	33939.5	19347.666666666668	11298.25	21173.0	16508.75	33052.25	22211.625	24247.166666666668	19437.166666666668	26151.5	22077.625	19569.5	18382.0	28079.125	24752.5	23161.75	16286.875	20369.25	16491.0	11389.0	26046.333333333332	37904.5	16883.5	27193.5	15237.75	19623.25	15973.25	19871.75	20895.333333333332	17081.25	24113.25	27937.333333333332	24973.75	21369.25	32021.75	30036.25
p.Cresol	9689.0	7170.5	6740.5	8138.333333333333	5227.0	8361.0	8175.0	7107.625	6614.5	7513.333333333333	8057.333333333333	7550.5	7801.375	7635.5	8086.25	7907.5	8919.5	7503.25	7063.125	9208.625	8630.0	6495.25	8087.0	8766.0	7462.75	7611.0	8678.75	6601.75	7457.25	7599.5	8722.666666666666	6787.0	10632.75	9136.0	8183.25	7068.5	12775.0	8670.25
Imidazole.4.acetaldehyde	10035.75	10672.0	14404.0	12690.0	11637.75	12659.0	13041.75	14965.25	12682.375	18296.5	14546.666666666666	19310.5	17526.875	11150.5	15647.5	13800.0	13645.5	13846.25	14538.875	13197.125	15213.5	13326.75	13063.333333333334	13772.5	14641.75	15868.5	15187.25	17651.5	15580.25	12833.5	14072.166666666666	10394.25	13623.75	13470.5	11587.5	13640.5	16022.75	15042.5
X2.3.Butanediol	3036.75	2006.0	1953.5	2310.0	1096.25	2492.0	2471.0	2120.0	1795.125	2382.6666666666665	2247.5	1915.5	2002.0	2300.0	1961.25	2053.875	3362.0	1932.25	1839.375	2150.25	2911.25	1739.25	2210.5	4230.0	1962.5	2485.0	2449.5	2339.25	1655.0	2105.75	3881.6666666666665	2048.75	2541.5	2827.0	2224.5	1785.25	1971.75	2855.25
Pyrrole.2.carboxylic.acid	12484.0	7398.0	9752.0	15342.333333333334	15026.75	16237.5	12696.0	11339.375	14169.875	14774.5	13170.5	13937.5	17215.875	11338.0	14340.75	11837.125	20724.5	15792.25	10572.5	13312.5	15261.0	10115.75	11788.5	19005.0	11188.0	21172.5	19152.25	18845.25	10453.25	11033.75	12269.666666666666	14075.25	13731.0	13380.5	17924.75	17059.25	18054.75	17506.5
