@format=row	BXD44	BXD95	BXD45	BXD39	BXD89	BXD63	BXD101	BXD65	BXD40	BXD9	BXD27	BXD86	DBA/2J	BXD62	D2B6F1	C57BL/6J	BXD73b	BXD102	BXD48	B6D2F1	BXD100	BXD43	BXD65b	BXD68	BXD77	BXD48a	BXD79	BXD87	BXD84	BXD61	BXD70	BXD29	BXD66	BXD69	BXD51	BXD13	BXD24	BXD34
X2.Piperidinone	1231.5	1316.375	1832.5	1690.5	1798.0	1156.0	1684.0	1311.6666666666667	1193.5	1452.25	1201.25	1492.0	1533.5	1235.5	1206.1666666666667	1603.375	1287.5	1728.5	1469.5	1747.125	1533.25	1264.6666666666667	1532.6	1295.25	1235.0	1449.1	1507.5	1691.75	1835.1666666666667	1199.5	1353.875	1435.0625	1356.5	1820.5	1299.5	2232.5	1305.0	1386.875
X5.Aminopentanal	1848.0	1447.75	2009.5	2167.5	1959.75	1408.5	1672.0	1502.6666666666667	1856.0	1862.5	1594.25	1416.0	1286.0	1462.5	1526.6666666666667	1949.0	1635.0	1825.8333333333333	1629.5	2535.125	1439.0	1236.8333333333333	1706.8	1490.0	1787.5	1527.9	1872.75	1511.5	3029.3333333333335	1520.3333333333333	1521.5	1795.375	1414.5	2814.5	1311.6666666666667	3027.5	1807.5	1743.5
Valeric.acid	13533.5	8042.125	8299.5	10690.0	9591.75	5307.0	8865.5	5657.5	7098.75	14162.75	8699.75	6169.5	5124.75	8947.0	6841.333333333333	8642.5	6059.0	6351.0	29669.833333333332	8217.875	6815.0	6158.666666666667	6736.2	7237.0	8518.0	7139.5	6888.75	8418.25	14224.166666666666	7542.166666666667	7292.625	7727.8125	5465.5	8307.0	6039.666666666667	11651.5	7067.25	10203.25
Dimethylglycine	21434.75	62853.125	68360.5	126729.0	69147.75	65524.0	55781.0	48531.5	59917.75	43016.5	46100.5	45749.0	45107.0	99575.5	28681.333333333332	40868.125	53341.75	67657.66666666667	60066.666666666664	49142.25	96860.75	61106.833333333336	64473.7	84142.25	73028.25	48187.9	55548.0	108422.25	84582.33333333333	57838.666666666664	71815.375	70845.4375	100975.0	85491.5	60232.5	131326.75	43610.5	100847.625
X2.Hydroxybutyric.acid	11573.0	22102.5	51189.5	23458.0	27177.25	41433.5	31982.5	27152.666666666668	27732.75	22075.0	39779.0	27834.0	30661.0	32339.25	17887.166666666668	30725.125	24379.0	47383.0	24624.833333333332	24921.625	29508.5	25622.5	36406.5	44335.75	33259.25	35589.0	30156.75	68559.25	24495.5	42376.333333333336	30783.375	32742.625	28559.0	56157.0	21422.0	42736.5	17453.0	45398.125
L.Serine	17283.25	22189.125	25320.0	161982.0	24582.0	18245.5	19880.0	14055.833333333334	19153.5	20419.5	16397.75	24940.0	15233.25	22443.5	16273.833333333334	19703.625	19445.5	22963.333333333332	14700.833333333334	19335.625	23877.5	21107.333333333332	20929.2	17500.0	22098.25	15006.7	20401.25	21387.0	35778.166666666664	23424.5	19254.875	22216.4375	16835.5	31402.5	21869.666666666668	35980.5	16249.0	20455.25
p.Cresol	11046.75	7372.75	9683.5	12410.5	9400.25	6843.5	7839.0	6374.166666666667	7555.0	8606.25	10454.25	7715.0	7218.5	8026.75	7454.0	8834.125	7287.5	7250.0	10722.833333333334	7268.75	7145.75	7347.0	7640.6	8002.25	8323.75	7187.4	9449.75	7232.75	8861.833333333334	6996.833333333333	8295.0	8748.5	6973.5	6887.0	8194.333333333334	8258.25	8569.25	9270.125
Imidazole.4.acetaldehyde	7058.5	11514.75	17629.0	10909.0	9799.25	10845.5	13e3	11965.5	13711.0	12038.0	12020.0	10987.5	11943.25	15374.25	11920.5	13928.875	13610.25	16338.0	10303.333333333334	15453.5	20345.5	14410.833333333334	14177.1	14514.25	13181.75	10007.8	14688.0	16345.0	14202.0	12223.833333333334	13046.25	11890.6875	13527.0	17379.0	14873.166666666666	14853.25	15369.75	16550.25
X2.3.Butanediol	5276.75	2124.875	3996.5	4120.0	1759.75	1114.5	1773.5	1690.1666666666667	2345.5	2244.0	2787.75	1796.5	2009.5	2763.25	2161.0	2789.0	1591.75	1829.1666666666667	2277.3333333333335	2212.875	1775.25	1681.6666666666667	2256.2	1955.75	2163.5	1728.2	1831.5	1659.25	2287.3333333333335	1723.3333333333333	2042.25	2271.5	1913.0	1392.5	2575.6666666666665	2333.75	3155.75	3139.375
Pyrrole.2.carboxylic.acid	8171.25	8506.5	15785.0	26988.0	14164.0	18427.5	14041.5	8995.833333333334	11609.25	14131.25	14189.0	17128.0	9264.5	10514.5	7715.0	10815.625	10763.5	14261.5	14624.5	13144.875	13320.0	15492.833333333334	13933.6	11201.75	18331.0	10989.1	12581.25	24643.0	10763.833333333334	13743.5	12126.375	13121.625	11864.0	22170.5	13883.333333333334	12766.0	9802.75	15448.125
Histamine	3630.0	7273.625	13446.5	12633.0	7234.0	11370.0	8963.0	8727.833333333334	8891.75	20160.0	8066.5	8565.5	9566.0	7962.0	7748.5	11053.125	9436.75	13198.0	8496.333333333334	11362.5	10051.75	11148.0	9463.6	11637.0	10443.25	6328.6	10125.5	12357.5	11978.166666666666	9283.0	10054.0	8363.625	701815.0	11135.5	9774.333333333334	14586.25	9673.75	10304.125
X3.Furoic.acid	21028.0	15087.0	17001.0	13506.5	20761.0	14154.5	14765.0	10602.833333333334	14873.0	12945.5	17850.5	13279.0	11879.75	19334.0	13460.166666666666	15826.125	10572.25	12287.0	13642.0	17142.625	13777.0	14836.166666666666	12654.6	10813.0	16389.75	11275.3	11812.75	13981.5	12538.5	16227.5	15033.125	14460.625	16740.5	15836.5	18403.5	16903.0	15898.25	14916.625
Uracil	23037.75	30628.5	59494.5	275945.5	70359.25	84631.5	54678.5	28449.0	42422.5	63611.5	56170.5	67457.0	29312.75	48817.75	27060.833333333332	38452.25	45718.25	46648.0	78840.5	42746.0	44293.75	60623.833333333336	51803.7	41634.5	63767.5	38648.9	59980.25	96760.0	38405.333333333336	52953.5	43681.875	60207.0	58068.5	97143.5	51412.833333333336	43990.0	35722.25	66006.5
trans.1.2.Dihydrobenzene.1.2.diol	13955.5	6649.25	12267.5	6797.5	5599.75	2957.5	7547.0	4408.0	8734.0	5233.25	12128.0	4696.5	5037.0	9849.5	7682.666666666667	10432.375	4391.5	4920.5	5233.0	7168.5	5257.25	4216.666666666667	5728.9	4911.5	7394.5	4394.7	4681.25	4260.25	5579.0	4906.666666666667	6257.875	6028.4375	4501.0	3412.5	8072.333333333333	6044.75	10722.0	11882.125
Creatinine	42244.25	34551.625	24907.5	22586.0	51953.25	23701.0	32965.5	36668.0	36153.75	39703.0	42658.75	51669.5	43816.75	30447.5	36121.833333333336	35841.125	28725.0	41329.5	32216.833333333332	33264.0	55602.25	39065.666666666664	35157.1	27625.25	39820.5	42298.7	37302.75	27178.25	32619.833333333332	36604.166666666664	36053.625	32004.6875	42401.0	26644.0	32549.5	39541.25	33491.5	36792.0
Dihydrouracil	9908.75	8280.25	17494.0	50775.0	11861.25	20914.0	16967.5	9407.666666666666	9022.75	13705.5	10692.0	14506.5	12064.0	13239.25	9519.333333333334	11672.375	18552.75	20029.0	9557.833333333334	12502.625	13775.25	10961.833333333334	13539.3	18082.0	11320.5	10197.0	19930.0	15101.0	20516.333333333332	11537.166666666666	13087.5	11297.0	13510.5	21679.0	12513.666666666666	14452.0	10176.75	12056.125
Delta.Hexanolactone	15226.0	2640.375	5989.5	3625.0	2825.0	1970.0	2709.0	1866.0	2292.5	2572.5	3274.75	2565.5	2018.75	3596.0	2403.1666666666665	3839.0	2008.0	2157.3333333333335	2190.8333333333335	2518.125	2139.25	2322.5	2720.5	2685.5	2376.5	2039.7	2516.5	2182.5	2375.1666666666665	2306.1666666666665	3092.625	2569.0625	2117.0	2549.5	2536.3333333333335	2090.25	2550.0	3846.0
X3.Amino.2.piperidone	1128.75	1157.0	1533.0	1486.0	766.5	1154.5	1700.5	810.6666666666666	1706.0	1428.75	1846.0	1067.0	759.25	1433.75	1880.3333333333333	2341.0	1364.0	1252.3333333333333	907.6666666666666	785.125	1266.5	908.5	1105.9	1204.0	1576.5	1242.1	1769.25	1681.25	1289.3333333333333	982.3333333333334	1602.375	928.125	980.0	1766.5	1062.6666666666667	1437.5	3402.75	1550.5
L.Proline	45409.5	65853.125	118880.0	341591.5	114511.75	90515.0	102113.0	62992.5	61167.25	88948.25	56595.0	55476.5	68839.5	90496.0	55418.0	77154.0	71929.0	95886.33333333333	103437.66666666667	82522.125	76775.25	57922.333333333336	76600.4	50847.75	80325.5	65305.5	92457.75	66549.0	106767.33333333333	56046.833333333336	94319.875	98815.25	88835.5	140800.5	53419.0	215130.0	56181.0	75755.75
Fumaric.acid	16890.0	73415.375	35824.0	83019.0	48166.0	123974.0	36707.0	34986.333333333336	54243.5	27028.0	46671.0	52762.5	28338.5	74235.0	23058.666666666668	26498.5	45207.5	59409.166666666664	45533.0	80119.5	57124.75	60390.833333333336	51920.3	39719.25	82380.75	30411.4	51209.75	64439.5	75648.16666666667	49066.5	62451.75	60850.875	74766.0	98198.5	67119.16666666667	72628.25	38588.0	27424.875
Alpha.ketoisovaleric.acid	14936.0	7487.75	9818.0	17428.0	9301.0	8130.5	7886.0	6378.5	7426.25	7687.5	8597.25	8541.0	8154.75	9421.25	6841.0	9647.875	6522.5	7527.166666666667	6516.333333333333	7487.75	9411.5	7736.0	7577.9	6285.0	6574.5	7225.5	6858.25	9004.0	6350.166666666667	7025.333333333333	7373.75	7389.0625	7200.5	9238.0	7181.166666666667	8627.25	9292.25	8990.375
