@format=row	BXD64	BXD99	BXD77	BXD63	BXD83	BXD53	DBA/2J	BXD73b	B6D2F1	BXD24	BXD61	BXD45	BXD101	BXD68	BXD65	BXD65b	BXD32	BXD67	BXD9	C57BL/6J	BXD39	D2B6F1	BXD73	BXD91	BXD40	BXD69	BXD98	BXD100	BXD86	BXD87	BXD62	BXD29	BXD79	BXD48	BXD102	BXD34	BXD95	BXD90	BXD60
X2.Piperidinone	1116.0	1714.5	1369.5	1596.625	1157.75	1314.625	1301.625	1573.5	1352.9	1621.0	1530.75	1698.5	1601.5	1475.125	1627.8333333333333	1600.5	1286.375	1331.5	1708.5	1926.625	1393.5	1533.0833333333333	1095.0	1405.25	1302.375	1674.25	1273.5	1314.0	1451.8333333333333	1356.25	1180.5	1276.1	1259.3333333333333	1710.0	1735.1	1756.5	1628.5	1614.5	1313.25
X5.Aminopentanal	1075.0	1571.0	1261.0	1808.625	1708.0	1650.5	1465.75	1408.25	1585.4	1691.5	1398.0	1774.6666666666667	1774.8333333333333	1689.375	1461.6666666666667	1588.0	1465.625	1598.0	1889.5	1891.875	1393.5	1581.6666666666667	1468.0	1485.25	1851.875	1865.25	1620.3333333333333	1382.625	2042.8333333333333	1652.5	1508.3333333333333	1585.3	1271.0	1231.75	1853.3	1619.0	1212.5	2048.0	1481.5
Valeric.acid	4927.5	6025.0	6281.0	8010.5	9014.25	7071.0	7781.0	5110.0	8784.0	9896.5	6909.5	7137.5	7594.5	9509.75	7405.0	6161.25	7969.125	8448.5	10149.5	6183.125	6153.0	7344.666666666667	5425.5	12442.25	7864.625	14444.25	6453.833333333333	4701.75	6792.333333333333	9130.0	7668.833333333333	7727.2	8235.333333333334	6629.0	7030.2	11541.5	6934.5	7875.25	6735.0
Dimethylglycine	39279.5	62017.5	48711.75	68808.875	36680.75	51645.5	66952.5	55429.5	63009.0	45311.0	52884.5	70779.0	161738.83333333334	72325.5	71453.0	82231.25	69955.75	80080.75	153956.5	68440.75	91779.5	44815.0	70448.75	69131.75	42978.0	77907.0	66839.66666666667	58842.625	51262.166666666664	71539.25	65991.33333333333	61295.7	62046.0	62184.25	89091.2	131680.0	60748.0	67185.0	59922.5
X2.Hydroxybutyric.acid	20017.0	34163.5	25188.75	35638.875	22235.25	30320.75	35003.75	32292.5	29916.8	27613.5	31387.5	33435.166666666664	32438.833333333332	26984.25	43928.333333333336	33243.75	41327.625	29350.0	30922.5	36113.375	22567.5	30855.833333333332	24419.75	19838.5	35110.125	25528.25	41143.0	26199.375	23883.833333333332	34681.75	19210.5	48526.3	24167.833333333332	32616.25	58310.6	26547.5	25240.5	85504.0	31678.0
L.Serine	14129.0	19463.5	15934.25	18615.0	14726.0	18501.0	22408.875	18399.75	20293.4	17666.5	15836.75	20497.333333333332	43691.5	15736.625	18267.833333333332	23419.25	21139.375	18941.5	31186.0	17617.0	17119.0	21231.333333333332	20798.5	24749.5	14861.875	19225.5	14511.5	19632.0	22543.0	18638.75	16212.0	20772.6	14835.666666666666	21712.75	23329.6	23740.0	27492.5	19599.25	14972.25
p.Cresol	5671.5	7253.5	7400.0	8371.25	8418.0	8871.625	7746.375	6709.5	8348.9	9319.0	7232.25	7093.5	8296.166666666666	6495.0	6622.166666666667	6255.0	7323.875	6595.75	7486.0	7774.125	7074.5	7942.083333333333	6054.0	7302.75	8037.875	10478.75	5953.166666666667	6923.75	7627.333333333333	8243.25	7362.833333333333	9394.5	7492.333333333333	7855.25	8349.0	10928.5	6865.5	10715.5	8184.75
Imidazole.4.acetaldehyde	9221.0	12488.5	11978.25	16328.875	7443.5	13551.25	15671.125	14955.25	11982.5	12340.0	13372.5	11269.0	13104.666666666666	14571.875	15078.833333333334	16683.25	15139.875	11190.25	14444.0	13240.5	18205.5	15957.25	13277.5	11464.25	11659.875	12108.0	11837.333333333334	17690.0	14182.666666666666	9450.75	10316.666666666666	11190.9	14253.5	14623.25	15848.3	19375.0	12904.0	12959.0	9762.25
X2.3.Butanediol	1494.0	2128.5	2085.25	2290.0	2326.25	1478.0	1630.5	2111.5	3217.1	3133.0	1583.0	1957.1666666666667	2642.0	1795.75	1618.0	1614.5	1830.875	2364.5	1469.5	2500.75	1555.0	2272.4166666666665	1564.25	2602.75	2091.25	2184.0	1390.8333333333333	1769.0	2073.0	2667.75	2426.3333333333335	2345.1	1895.25	2231.0	2955.3	6018.0	1857.75	3482.25	2206.25
Pyrrole.2.carboxylic.acid	12243.5	10839.0	11696.25	18206.375	12201.25	14741.375	18096.0	10852.25	13879.9	10262.0	17314.25	13702.166666666666	14739.666666666666	11207.0	17339.333333333332	15694.75	17947.0	9445.0	14352.5	10903.75	12944.0	13311.083333333334	11367.5	8010.5	14916.25	9761.25	15061.666666666666	12245.5	9976.0	14549.75	9823.5	15907.9	10875.75	15779.25	13377.8	10885.5	14654.5	24766.75	13091.5
Histamine	5003.0	9843.5	7740.75	11209.875	6128.0	8908.875	11847.875	10167.5	7908.8	7855.0	9896.5	10184.0	9293.333333333334	10277.625	9700.0	12040.75	11104.25	6799.75	10215.5	9198.75	13694.0	10016.416666666666	9958.75	11064.0	5658.5	12214.0	111255.83333333333	11293.0	8742.0	5811.0	7639.666666666667	8597.7	10959.333333333334	9549.75	10572.6	16785.0	9826.0	10279.25	9725.75
X3.Furoic.acid	9768.0	14223.0	14022.5	16936.875	12916.5	14811.875	15956.125	12390.25	15619.4	17075.0	15795.75	16302.166666666666	21328.5	12494.625	13371.333333333334	15742.25	17504.5	14567.25	17154.5	14790.875	12222.5	14120.666666666666	17528.75	12183.5	10858.875	12069.25	12358.5	13858.625	13886.5	13484.25	16879.666666666668	17135.1	12750.0	16801.75	14701.9	21976.5	16279.25	19872.0	12493.25
