@format=row	BXD34	BXD73	BXD90	BXD39	BXD48	BXD50	D2B6F1	BXD51	BXD88	BXD48a	BXD102	BXD68	BXD100	BXD70	BXD67	BXD65b	BXD101	BXD95	BXD11	BXD73b	BXD53	BXD24	BXD60	BXD86	C57BL/6J	BXD32	BXD40	BXD65	BXD77	BXD63
X2.Piperidinone	1403.2	1379.0	2403.5	1701.5	1184.5	1406.5	1158.5	1311.5	1889.3333333333333	1653.25	1641.5	1271.5	1732.25	1252.0	1430.25	1659.125	1353.0	1425.0	1507.75	1375.5	1696.5	1159.0	1168.5	1209.75	2331.6666666666665	2085.0	1565.25	1470.75	1707.0	1273.5
X5.Aminopentanal	1644.1	1454.0	2632.5	1206.5	1546.6666666666667	1491.0	1382.0	1942.5	1990.0	1888.25	1755.5	1439.5	1765.125	1493.3333333333333	1283.25	1923.25	1376.5	969.0	1689.0	2008.0	1382.75	1361.5	1342.75	1424.0	1552.0	2091.8333333333335	1800.75	1622.0	2246.0	1439.5
Valeric.acid	9154.7	8947.5	9148.5	12344.0	7435.0	6350.5	8988.25	6812.5	7189.333333333333	8712.5	7002.75	6934.5	6916.25	7466.333333333333	6832.25	6755.125	8705.5	5077.0	6674.75	7176.5	7172.0	7011.0	5080.75	9141.0	9082.333333333334	9572.333333333334	8029.0	11518.25	7730.25	7824.0
Dimethylglycine	90831.7	92406.5	122974.0	101248.0	58263.833333333336	62480.0	30089.5	68689.0	81489.16666666667	67370.25	87155.25	87891.0	92631.75	60748.0	70336.25	65429.75	65595.0	57374.0	71294.0	56840.0	94348.0	51335.0	83991.25	46466.75	59718.166666666664	131276.33333333334	82206.0	78668.75	70551.25	65845.75
X2.Hydroxybutyric.acid	23242.9	68726.5	67225.0	37572.5	31283.666666666668	36003.5	23955.0	24657.5	30878.0	35208.5	48649.5	47197.0	29987.625	36677.833333333336	28010.25	50763.375	25560.0	20521.5	26285.25	28131.5	44378.75	24980.0	35966.0	33742.0	45469.166666666664	72464.5	50947.5	25962.0	24343.75	33668.25
L.Serine	84200.2	24537.0	26775.5	143142.0	14962.666666666666	16873.5	18209.5	15600.0	17711.333333333332	16787.75	18519.5	16745.0	17322.125	21913.0	20747.5	13177.125	28747.0	19275.0	20839.25	16508.0	14719.75	19209.25	19093.0	18265.5	20241.5	16575.166666666668	17799.5	13809.75	22259.75	33537.75
p.Cresol	10876.2	7155.5	8071.0	16131.0	8163.5	6823.0	9217.0	6603.5	6798.5	6355.75	7332.75	6881.0	7411.75	7443.166666666667	6882.0	7825.125	7914.5	6772.0	8213.5	6852.5	9407.5	6790.0	7528.5	10058.75	7608.833333333333	9053.5	8164.25	10287.0	8893.25	10044.75
Imidazole.4.acetaldehyde	13106.8	24728.5	14940.5	13348.0	10765.833333333334	12254.0	9304.0	10979.5	13513.0	12069.75	16368.25	16645.0	15415.75	9408.833333333334	15347.25	11121.625	14926.0	14888.5	12223.0	18849.0	14106.5	12786.25	16273.25	11853.75	14835.666666666666	16044.666666666666	10992.25	14110.0	13217.0	12289.25
X2.3.Butanediol	4038.7	1876.5	1588.5	10651.5	2553.0	1746.0	3475.5	1311.0	2218.0	1651.0	2199.75	1993.0	1678.25	1802.1666666666667	1830.0	2512.625	1706.0	1831.5	2660.25	1814.5	2686.25	1723.0	2344.5	2843.5	1741.3333333333333	2273.1666666666665	1671.25	2550.5	3903.5	2345.5
Pyrrole.2.carboxylic.acid	15817.1	24700.5	15700.0	29057.0	11622.666666666666	9311.0	9498.25	9546.5	14636.666666666666	14494.75	16807.25	13472.5	12383.625	10217.833333333334	12208.25	17549.125	13710.5	9918.0	11370.25	13583.5	20426.0	10664.5	10082.5	14689.75	13211.333333333334	13185.833333333334	14016.75	12118.75	20276.25	13785.5
