@format=row	BXD53	BXD51	BXD39	BXD75	BXD66	BXD100	BXD81	BXD44	BXD73	BXD34	BXD49	BXD65	C57BL/6J	BXD63	BXD68	BXD70	D2B6F1	BXD32	BXD99	BXD48a	BXD61	BXD48	BXD43	BXD95	BXD69	BXD89	BXD74	BXD102	DBA/2J	B6D2F1	BXD79	BXD65b	BXD40	BXD29	BXD73b	BXD87	BXD90
X2.Piperidinone	1920.5	1274.5	1106.0	1104.0	1366.0	1296.1666666666667	1299.25	1259.1666666666667	998.5	1121.5	1318.5	1295.75	2199.9375	1370.25	1280.75	1194.75	1292.75	1790.0	1482.0	1920.5	1697.0	1598.0	1201.75	1225.6666666666667	1414.75	1518.5	1137.0	1212.75	1553.1666666666667	1400.5	1404.1666666666667	1385.5	1196.8	1345.25	1232.5	1106.75	1173.25
X5.Aminopentanal	1021.5	1155.75	1536.0	1430.5	1367.5	1349.3333333333333	1269.0	1426.3333333333333	1151.5	1393.5	1203.0	1514.5	1492.875	1535.5	1288.5	1250.25	1595.5	1726.5	1301.5	1411.3333333333333	1454.1666666666667	1688.25	1360.25	1382.1666666666667	1207.75	1508.75	1484.0	1334.75	1613.0	2129.0	1326.1666666666667	2102.25	1301.8	1384.0	1283.5	1333.75	1440.125
Valeric.acid	10248.0	6630.5	10202.0	9878.5	6971.75	5184.833333333333	6171.25	6552.0	6613.25	7826.0	6031.25	7548.375	8892.8125	7123.125	7985.5	6465.0	6960.375	8210.25	6521.666666666667	8793.333333333334	8269.666666666666	6399.25	7399.5	8217.166666666666	6150.5	8125.0	8407.0	8164.25	14613.666666666666	8843.75	7146.333333333333	6243.75	7141.3	6331.5	6908.0	13617.75	7064.125
Dimethylglycine	188041.5	126609.75	48693.5	60805.5	52065.5	62760.833333333336	68259.5	60688.166666666664	53333.75	91660.0	70689.0	49732.0	60168.4375	58621.5	115395.25	60970.0	43730.375	82138.25	62291.666666666664	231823.0	69465.0	74277.5	83539.5	59953.166666666664	65445.5	79393.75	70525.5	66853.75	59254.0	63285.75	78709.16666666667	63027.75	58480.8	66237.75	74290.25	62615.25	63199.5
X2.Hydroxybutyric.acid	37155.5	25548.75	27720.0	31511.0	46112.0	32245.0	35897.25	47506.666666666664	25287.5	29059.0	39544.25	32789.375	28675.125	39378.625	47773.25	31088.0	27124.875	38741.25	34847.5	35356.5	46750.0	50476.75	30011.25	33162.5	47665.75	48204.75	35865.0	37705.5	29438.333333333332	23575.75	31761.833333333332	31247.5	37925.3	34908.0	37515.25	32329.5	34447.0
L.Serine	202388.5	191201.75	29868.5	33805.0	17172.75	17185.666666666668	15074.75	24085.5	14499.25	16528.5	26194.0	13739.375	19327.25	21465.375	14690.25	21905.5	15743.375	23915.25	18924.666666666668	75366.16666666667	19303.0	31270.25	16119.25	18839.5	20307.25	20792.75	13714.5	12981.0	19146.166666666668	16912.5	24665.666666666668	16266.0	19371.9	26038.25	15200.0	14677.25	26770.25
p.Cresol	10292.5	12238.0	9928.5	8361.0	7257.5	7074.0	6511.25	8391.0	7170.5	6768.5	6233.5	7504.625	7663.75	7391.25	7221.75	5924.75	7189.5	10047.25	9005.833333333334	28004.0	7139.833333333333	8999.0	7055.5	8596.166666666666	6378.75	6686.0	6184.5	7368.25	8303.666666666666	7685.75	7136.0	7616.0	7409.8	8955.5	7084.75	8175.75	7024.75
Imidazole.4.acetaldehyde	17166.0	12036.0	10329.0	17043.5	14096.5	15576.5	15573.0	16343.0	10790.5	15712.5	18879.5	9340.5	13607.125	14057.625	18931.75	16479.5	11865.25	15848.0	14592.333333333334	16601.0	12188.5	15408.75	13990.25	11089.166666666666	14245.75	16917.25	13533.5	14290.5	14675.166666666666	10124.0	18984.333333333332	13502.0	13485.9	14924.0	15097.75	10514.25	14297.75
X2.3.Butanediol	1346.5	3722.5	2833.0	1361.5	1092.0	1422.1666666666667	1279.5	1373.6666666666667	1396.75	982.0	1649.0	1456.75	1583.1875	1234.25	1769.75	1181.25	1578.25	1479.75	1848.3333333333333	2935.3333333333335	1359.6666666666667	1313.5	1587.5	1714.0	1383.5	1436.5	1528.5	2448.5	2744.3333333333335	2348.75	1281.6666666666667	1357.875	1452.6	1527.75	1459.25	3399.25	1600.625
Pyrrole.2.carboxylic.acid	21169.5	18685.25	9587.0	14585.0	12836.75	9433.666666666666	10346.5	16245.5	10636.75	10355.0	12464.5	8942.125	12276.25	12957.375	13909.25	9908.0	11841.625	13111.5	15285.333333333334	20013.5	11528.333333333334	11419.25	10473.0	10403.5	12536.0	14301.5	14773.5	15666.5	12661.166666666666	9697.5	11389.166666666666	17154.5	12627.4	17077.75	14265.0	18028.75	12040.125
