@format=row	D2B6F1	BXD48	BXD44	BXD51	BXD86	BXD77	BXD9	BXD65	BXD60	BXD50	BXD40	BXD43	BXD24	BXD89	BXD63	BXD45	BXD69	BXD64	BXD27	BXD95	BXD102	BXD34	BXD100	BXD70	BXD101	DBA/2J	BXD84	BXD62	BXD65b	BXD87	BXD98	C57BL/6J	B6D2F1	BXD73b	BXD29	BXD32	BXD48a	BXD90	BXD61	BXD79	BXD66
X2.Piperidinone	1025.375	16437.5	1151.5	1298.5	1014.0	1170.6666666666667	1075.5	1268.25	940.0	969.0	1402.0	1328.5	12698.5	919.75	1864.5	1257.0	1129.75	1152.75	1056.0	1247.75	1418.25	969.0	1409.75	1245.5	1180.0	1275.6666666666667	1472.75	1161.5	1296.375	1232.75	1526.25	1315.6	1116.0	1319.5	1250.0	1100.875	1277.625	1255.8333333333333	1559.0	1224.6666666666667	966.5
X5.Aminopentanal	1458.25	10463.5	1421.5	1882.0	1461.0	1253.6666666666667	1608.75	1717.0	1392.0	1273.5	2018.0	1799.5	6678.5	1123.25	3020.0	1307.0	1352.0	1520.75	1540.5	1366.5	1646.625	1218.5	1555.0	1604.0	1348.3333333333333	1721.1666666666667	1746.75	1314.75	1307.875	1413.25	1496.25	1664.7	1424.3333333333333	1216.5	1561.25	1239.25	1231.375	1618.1666666666667	1550.25	1427.8333333333333	1506.5
Valeric.acid	6849.0	47611.0	9488.0	5989.25	7449.25	6566.833333333333	7022.5	8273.75	7408.0	5750.5	7991.5	6481.0	50687.5	6846.75	7672.0	6141.0	6634.25	12679.25	7522.0	7339.0	7936.25	8489.5	5595.5	9097.0	6007.333333333333	8005.833333333333	11739.75	6676.75	5579.375	8025.0	6972.75	8269.2	7512.583333333333	5718.25	8051.875	6860.625	6651.125	7144.833333333333	7451.25	6664.833333333333	11088.5
Dimethylglycine	52290.75	1671218.5	65383.0	66145.0	37077.5	53301.5	35717.0	67828.25	45751.25	49214.5	84419.5	52444.166666666664	1177050.0	62832.5	55691.0	97096.5	48274.5	51146.0	46639.25	67407.75	58865.625	57061.0	63374.5	46332.0	65504.333333333336	88289.16666666667	65688.5	74627.25	83839.125	77473.0	75565.5	73308.0	48192.583333333336	62228.75	66417.625	57737.25	61706.75	61827.833333333336	77422.5	98130.0	49757.75
X2.Hydroxybutyric.acid	21839.5	201460.5	34818.5	27778.25	21450.0	22576.666666666668	19059.5	30103.75	25871.75	22163.0	25492.0	32507.666666666668	1189563.0	28506.75	33975.0	30739.5	27761.5	19324.0	33249.5	25744.75	27843.75	34143.0	28259.75	22312.0	31395.666666666668	35089.833333333336	25173.5	30670.5	43669.75	33864.75	31547.5	31337.4	27676.333333333332	27495.0	38832.875	34693.75	39779.375	36060.833333333336	45742.25	32631.166666666668	27377.75
L.Serine	17786.75	6821.5	21507.0	23508.25	13306.75	17694.5	15454.0	26874.75	16082.25	17555.0	17308.0	16469.166666666668	3235.5	26386.25	17949.0	14329.0	22451.0	14329.0	16800.0	20771.75	19995.0	15183.0	12253.5	27105.5	21879.0	24649.333333333332	19340.0	20019.0	17031.0	24107.5	17300.25	17683.0	20897.083333333332	13881.0	26769.875	14153.75	17926.75	12584.5	17789.0	20262.0	24223.75
p.Cresol	7843.125	202879.5	8138.0	7513.25	7798.25	7132.5	7296.25	7024.75	8194.25	4963.5	7288.5	5872.666666666667	45309.5	6833.5	8075.5	7605.5	8198.0	8795.5	8249.75	7816.75	8921.125	9614.5	7033.0	8822.5	7565.166666666667	11091.5	9801.0	7393.5	7894.375	8216.25	7969.0	8231.3	7507.833333333333	7169.75	8469.375	8866.75	7380.5	6904.166666666667	7235.25	7245.166666666667	9330.0
Imidazole.4.acetaldehyde	14707.625	18936.5	12676.0	11674.25	10587.75	11580.166666666666	9972.0	14011.5	11892.75	12877.5	15670.0	9896.0	24684.5	15925.25	13131.0	15762.0	12590.25	10355.25	11920.5	12231.25	12983.625	13149.0	18371.5	13262.0	14372.666666666666	16167.666666666666	13965.75	15566.5	16021.5	12820.0	15386.0	15849.5	12644.416666666666	13447.75	12932.5	11600.625	12840.5	10642.166666666666	10336.5	17434.833333333332	13458.0
X2.3.Butanediol	1967.625	5108.5	2243.0	1156.75	1311.0	1139.5	1394.75	1571.0	1729.25	1052.0	1499.0	1470.8333333333333	4849.0	1782.25	1567.5	1085.5	1548.25	1571.0	2024.75	1796.75	1754.625	2323.0	1875.75	1856.5	1349.3333333333333	2569.5	1424.75	1478.75	1329.25	2059.75	2090.0	1620.7	1676.1666666666667	1795.25	1249.25	1551.5	1577.375	1385.6666666666667	1500.5	1356.1666666666667	5250.0
Pyrrole.2.carboxylic.acid	13452.25	14780.0	14933.0	13307.0	11126.0	13109.166666666666	13126.5	9610.0	9191.5	11004.5	16671.5	8919.833333333334	8567.5	18598.0	13460.0	16321.0	11661.25	11772.5	11737.0	9465.0	11371.375	13440.5	12091.5	11107.5	12318.833333333334	16576.5	12340.5	14330.5	17269.875	16099.25	12837.0	11327.6	10344.083333333334	9870.0	12555.625	13624.125	11448.375	15649.333333333334	15554.25	12282.333333333334	13283.25
Histamine	8575.125	76271.5	8442.5	11163.5	6577.5	8808.0	6450.25	8346.0	5654.25	8517.0	9983.0	8463.0	11213.5	10910.5	15782.0	10181.0	10467.25	7773.75	8520.25	8234.25	8706.125	8187.0	12159.75	10094.5	8519.5	12202.5	11320.0	9871.0	9589.625	9481.0	11381.5	9042.4	8121.833333333333	8839.75	11008.0	8226.75	8604.125	6964.0	9789.25	13537.166666666666	8525.75
X3.Furoic.acid	14705.625	16920.5	18699.0	20348.5	13128.75	15256.5	13400.0	14700.5	12037.25	13571.0	13362.0	15353.833333333334	11110.5	15353.0	14002.5	15743.5	11794.25	11687.25	15650.25	16673.25	16903.5	14661.0	12745.5	18224.0	14384.333333333334	22663.833333333332	12803.25	18341.5	15614.75	15095.5	16498.25	16436.7	13684.916666666666	14113.5	16805.75	15479.125	13396.5	13004.333333333334	21821.25	16250.166666666666	18135.25
Uracil	86188.625	2091791.5	56922.0	48271.0	42159.5	54212.166666666664	52127.0	34622.75	31183.5	43714.0	61628.0	33542.5	965689.5	77436.5	44002.0	90838.5	47975.75	55657.25	49020.0	36991.0	39360.0	50674.5	38299.75	47758.5	45017.166666666664	84793.16666666667	74156.5	54565.25	66629.75	58748.0	67527.75	41812.0	42691.5	31491.25	43158.75	48464.25	40049.5	69843.83333333333	77122.25	47884.833333333336	47918.25
trans.1.2.Dihydrobenzene.1.2.diol	5697.25	15903.5	8871.0	3932.0	4654.75	3302.0	4059.75	4120.75	4620.75	3616.5	4347.0	4518.0	10751.5	5020.5	4601.5	3653.5	4184.75	3872.5	7850.0	5010.25	6087.875	8459.5	5026.0	5033.0	4022.0	7652.333333333333	4285.75	4403.75	3905.75	6149.25	6929.0	4830.1	4993.75	4932.25	4308.5	4927.5	4445.5	4411.0	4163.0	3932.0	9445.75
Creatinine	32813.0	41168.0	21359.5	35319.0	42303.0	36080.5	37573.25	45488.75	41722.0	24434.5	29946.5	35532.0	44551.0	29355.5	38173.5	35370.5	31069.5	31049.5	37284.0	39494.0	46408.375	41764.5	45827.75	35474.5	36812.833333333336	31828.333333333332	33763.5	35604.25	36955.25	41061.75	38500.25	38210.8	36617.5	43785.25	39706.25	40692.125	40094.5	38117.166666666664	40192.5	31288.833333333332	41111.5
Dihydrouracil	11361.75	51737.0	14028.0	13965.75	9114.0	12251.833333333334	9625.25	11356.0	9646.5	10956.0	12893.5	13424.166666666666	11262.5	14387.0	13558.0	11249.5	16022.75	10192.75	10759.5	12123.0	11744.75	10750.0	12919.0	11635.0	13909.833333333334	12063.0	17058.0	12547.0	12601.375	14692.5	14181.5	12000.9	12787.416666666666	9361.5	12700.0	10976.5	11691.375	11476.666666666666	11961.5	13222.666666666666	11393.25
Delta.Hexanolactone	2468.0	14279.5	4365.0	2191.25	2466.25	2124.8333333333335	2676.5	2223.75	3642.5	2079.0	3500.0	2203.6666666666665	7655.5	2024.75	2212.5	2347.5	2173.75	1978.75	3257.0	2575.75	2487.25	2666.0	2152.75	3501.0	2238.3333333333335	3777.3333333333335	2471.75	2414.5	1860.125	3047.5	2849.75	2764.4	2754.3333333333335	2007.0	2382.625	2256.75	2633.375	2318.8333333333335	2595.5	2281.8333333333335	14592.75
