@format=row	BXD63	BXD45	BXD32	BXD39	DBA/2J	BXD90	BXD24	BXD95	BXD73	BXD55	BXD100	C57BL/6J	BXD102	BXD91	BXD29	BXD89	BXD73b	BXD75	BXD87	BXD34	BXD48	BXD9	BXD65	BXD70	BXD43	BXD44	BXD61	BXD65b	BXD50	BXD68	BXD77	BXD101	B6D2F1	BXD62	D2B6F1	BXD48a	BXD79	BXD69
X2.Piperidinone	973.5	1507.25	1667.5	1480.0	1339.5	1394.875	1216.0	1571.75	1334.0	1016.25	1337.5	1407.4	1429.7	1817.0	1140.25	1229.6666666666667	1132.642857142857	1183.5	1070.5	1332.0	1362.6666666666667	1355.75	1404.5	1233.0	1349.75	1230.0	1090.7	1312.5	1606.5	1159.25	1301.5	1332.3333333333333	1224.2142857142858	1454.5	1372.375	1257.75	1047.0	2074.5
X5.Aminopentanal	2164.5	1690.75	1462.0	1882.0	1409.0	1592.875	1265.5	1367.0	1742.5	1439.5	1404.5	1655.6	1733.5	1722.0	1443.125	1430.8333333333333	1057.5	1764.5	1005.0	1434.5	1309.1666666666667	1648.25	1625.0	1555.125	1535.25	1416.5	1292.0	1608.1666666666667	1753.0	1169.5	1363.3333333333333	1170.5	1340.857142857143	1552.1666666666667	1428.125	1274.0833333333333	1690.5	1254.0
Valeric.acid	6929.5	8522.0	8177.5	10680.0	6506.5	7969.625	7329.0	6973.75	11576.5	8105.0	5489.625	7771.0	8631.5	17798.5	8170.5	6267.0	5086.642857142857	8561.0	6104.5	7114.75	6413.5	7222.5	6438.0	8235.25	9098.25	8519.0	7300.2	7322.166666666667	9290.5	9498.0	8822.333333333334	5327.833333333333	6964.142857142857	6675.0	6682.125	6791.166666666667	11455.0	6240.0
Dimethylglycine	18739.0	52716.5	71842.5	62685.5	66821.5	79287.125	94687.5	95294.75	44093.0	75500.75	56625.625	69404.4	67644.1	73183.5	71909.125	80050.5	78199.71428571429	75152.5	73867.0	92860.75	61646.833333333336	82175.25	86974.0	59437.875	65427.75	54313.0	72170.3	78982.0	74284.5	86801.25	59153.0	74421.5	78126.92857142857	76321.33333333333	64416.25	69461.75	58142.5	155263.0
X2.Hydroxybutyric.acid	11256.5	27761.25	31878.5	31627.5	27779.0	42069.125	58440.0	52775.0	19208.0	22924.25	31763.5	32299.6	44273.6	29983.75	37597.375	36570.666666666664	38943.71428571428	34006.5	41888.0	38924.5	37258.833333333336	31870.75	36138.5	23169.5	42153.0	40175.0	39897.3	37019.833333333336	39537.0	38639.25	32292.166666666668	38349.0	34572.21428571428	32431.666666666668	33381.75	40310.333333333336	17451.5	32998.5
L.Serine	5220.0	9219.0	19135.0	16611.0	22397.5	21607.625	31789.0	22588.5	18972.0	22231.75	15405.625	16857.1	18891.5	20483.0	18000.625	28931.166666666668	17407.571428571428	40478.0	16716.0	18273.5	15587.333333333334	19806.25	18841.0	15306.375	17407.0	25472.0	13289.3	17043.5	23494.5	19716.25	19122.166666666668	17394.0	22786.571428571428	24464.833333333332	16184.0	18607.416666666668	12855.75	17872.0
p.Cresol	4300.0	7691.0	7197.0	8773.0	8227.5	6935.0	6563.5	5596.0	8512.5	8094.5	7075.875	7218.8	9032.5	10006.0	7366.375	7497.333333333333	7055.642857142857	8881.0	6256.0	6697.5	7417.333333333333	7144.0	5669.5	7857.0	8029.25	9929.0	6390.0	8398.5	8203.5	7356.75	7043.666666666667	7012.666666666667	7924.428571428572	6994.666666666667	7758.0	8060.083333333333	7383.25	6444.0
Imidazole.4.acetaldehyde	5002.5	8314.25	10791.0	12162.0	20245.0	14596.875	19767.5	6597.75	7868.5	13197.5	15231.875	14848.3	17365.1	14332.5	11372.125	11984.166666666666	14570.07142857143	14639.0	11509.5	17280.25	10962.5	18543.25	12014.5	10240.25	13216.0	13613.0	11539.6	13416.666666666666	15220.0	20615.0	11974.166666666666	13343.166666666666	13551.714285714286	12150.333333333334	12733.375	13942.083333333334	13275.75	11706.5
X2.3.Butanediol	888.5	1337.0	1183.5	1339.0	1484.0	1769.875	1103.0	1102.5	2462.5	2767.5	1811.875	1366.7	1435.5	1371.5	1548.0	1177.1666666666667	1246.5714285714287	1359.5	884.5	1217.75	1191.5	1741.5	1420.0	1991.0	1391.5	2637.5	1218.7	1163.1666666666667	2356.5	1463.5	1403.0	1142.0	2267.4285714285716	1219.5	1682.875	1479.5	1430.5	1249.0
Pyrrole.2.carboxylic.acid	7549.0	9669.0	16667.0	14285.5	18604.0	14640.125	22834.5	8013.25	8675.5	10106.75	10870.75	12978.2	13423.6	12365.0	15388.125	11676.333333333334	11918.357142857143	17435.0	12151.0	16775.25	12379.833333333334	11669.25	10751.0	11167.5	11676.75	11214.0	14147.1	15727.833333333334	13994.0	12806.25	15274.0	11810.166666666666	15093.92857142857	12566.0	15293.625	14931.416666666666	9529.5	11173.0
