@format=row	BXD65b	BXD53	BXD100	BXD66	BXD73b	B6D2F1	BXD40	BXD61	BXD51	BXD77	C57BL/6J	BXD67	BXD98	BXD73	BXD70	D2B6F1	BXD89	BXD63	DBA/2J	BXD29	BXD32
X2.Piperidinone	1232.0	1852.5	1565.5	1255.0	1153.0	1449.1666666666667	1318.25	1030.0	1399.5	1100.5	1222.9285714285713	1308.75	1961.5	1256.5	1099.0	1328.5	3405.0	1430.25	1123.0	1247.6666666666667	1527.5
X5.Aminopentanal	1964.5	1247.5	1434.0	1444.0	1442.75	1583.6666666666667	2008.0	1210.0	1164.0	1266.25	1539.7619047619048	1208.0	2125.5	1378.6666666666667	1387.25	1276.8333333333333	1602.0	1620.75	1429.0	1440.3333333333333	2885.75
Valeric.acid	12172.0	9340.5	5243.0	7691.5	5436.0	6030.0	10244.75	6766.0	8094.5	8562.25	7971.5	7840.0	8231.5	7173.166666666667	7327.25	6221.833333333333	9541.5	6058.5	8652.0	6753.5	8263.25
Dimethylglycine	12750.5	168929.5	116351.5	77883.5	93011.5	90879.33333333333	61852.75	98783.5	138687.5	55330.75	66568.76190476191	63511.5	164487.5	82432.0	96270.0	69293.5	109950.5	68746.0	84360.66666666667	70458.5	186869.75
X2.Hydroxybutyric.acid	7407.0	37814.0	31717.0	37822.5	40852.0	48576.333333333336	24844.75	35723.5	67050.0	23277.5	32272.35714285714	30650.0	61673.0	40244.5	41958.25	30913.5	50349.5	26702.25	69174.33333333333	26536.166666666668	78094.0
L.Serine	11742.0	186012.0	29682.5	25123.0	20051.5	32493.833333333332	18859.5	16213.5	14823.5	22678.5	16223.047619047618	16356.0	13465.0	22052.666666666668	14671.0	22733.333333333332	21471.5	31087.25	22357.5	17120.333333333332	22548.25
p.Cresol	7297.0	9519.5	9584.5	6492.5	6671.0	7652.333333333333	8551.0	7514.0	9091.5	7977.0	7695.619047619048	6082.0	9633.5	6330.5	5761.0	6716.0	11307.5	7636.0	7747.333333333333	7835.333333333333	11822.25
Imidazole.4.acetaldehyde	5326.0	16482.5	16238.0	18070.5	12959.0	13133.0	12497.5	12758.0	13271.5	12332.5	12873.02380952381	11363.75	12659.5	12425.0	10457.0	13285.333333333334	13215.0	14030.0	12717.5	14264.0	14598.25
X2.3.Butanediol	1591.5	1332.0	988.5	1021.0	1535.25	1147.1666666666667	2068.25	894.5	1571.5	1176.25	1490.4285714285713	1507.5	1862.0	1299.8333333333333	1164.75	1142.6666666666667	2005.0	1306.0	1554.0	1585.0	1500.75
Pyrrole.2.carboxylic.acid	5219.0	20414.0	11934.5	14920.0	13055.25	12598.833333333334	14035.25	18064.5	19216.0	15260.5	10566.0	15328.0	16890.0	14985.666666666666	11335.25	11133.333333333334	17459.5	19062.0	16041.333333333334	13512.333333333334	15243.5
Histamine	1696.5	15605.0	14770.5	10366.0	9124.25	11738.5	7517.0	8141.0	6455.0	8888.75	7382.476190476191	7255.25	8817.0	11480.666666666666	6433.25	10043.166666666666	10508.5	9485.0	11483.333333333334	9515.333333333334	15639.5
X3.Furoic.acid	13574.0	16500.0	19081.5	15833.0	18543.0	14958.166666666666	16203.75	17283.0	25342.0	16935.5	18382.404761904763	17169.75	16183.5	18840.666666666668	19669.25	17225.833333333332	14721.5	14655.75	23010.666666666668	15567.166666666666	17415.25
Uracil	10715.0	282192.0	47555.5	52761.5	44994.0	47065.166666666664	57809.0	70526.0	101709.5	58409.0	48102.40476190476	64781.75	152921.5	56660.166666666664	44867.25	42213.333333333336	117797.5	80725.5	63964.5	50167.166666666664	64209.75
trans.1.2.Dihydrobenzene.1.2.diol	6401.5	3101.5	2984.5	3673.5	5049.25	3755.1666666666665	5691.75	3509.5	4374.0	4051.75	4773.714285714285	4048.25	5962.0	3761.6666666666665	3305.75	3684.3333333333335	5926.0	3735.75	5760.333333333333	4782.333333333333	3926.25
Creatinine	24056.5	26848.5	46397.0	32314.5	48468.0	43993.666666666664	43375.0	36658.5	38827.0	36388.5	37713.09523809524	40113.0	47151.5	30135.166666666668	37660.5	33722.666666666664	42377.0	26604.25	29351.666666666668	37242.333333333336	38005.5
